longitude,latitude,name,place,score,sense,thoughts,sounds
77.6196815,13.0660294,Srirampura,neighbourhood,64,layered,chaotic,
77.6379402,13.0713622,Shabarinagara,neighbourhood,76,layered,calm,
77.6495031,13.0553214,Chikkabyrathi,neighbourhood,67,layered,calm,
77.6520993,13.0563529,Byrathi,neighbourhood,66,layered,chaotic,
77.5922609,12.9664555,Sampangirama Nagar,neighbourhood,74,layered,calm,
77.5819643,12.9528478,Mavalli,neighbourhood,86,blast,vibrant,
77.6231374,12.9529247,Viveknagar,neighbourhood,67,mixed,vibrant,
77.5852286,12.9684991,Cubbonpet,neighbourhood,38,bleh,frantic,
77.576627,12.967815,Old Tharagupete,neighbourhood,35,bleh,frantic,
77.5738753,12.9699379,Sultanpete,neighbourhood,30,bleh,frantic,
77.5724588,12.9675442,Ranasingpete,neighbourhood,35,bleh,chaotic,
77.5759323,12.9731178,Balepet,neighbourhood,31,bleh,chaotic,
77.5539052,13.0470701,BEL Colony,neighbourhood,47,layered,chaotic,
77.6738079,13.0350897,Kalkere,neighbourhood,75,layered,calm,
77.6659373,13.0276391,Jayantinagara,neighbourhood,61,layered,calm,
77.7031243,12.9582555,Ashwath Nagar,neighbourhood,49,layered,chaotic,
77.7005306,12.9610371,Ananda Nagara,neighbourhood,51,mixed,alive,
77.6435238,13.0347892,Poojappa Layout,neighbourhood,68,layered,calm,
77.650469,13.0283523,Babusabpalya,neighbourhood,57,layered,calm,
77.6463658,13.0299462,GNR Gardens,neighbourhood,87,blast,calm,
77.5622224,12.9851843,Ramachandra Pura,neighbourhood,67,layered,calm,
77.5969579,13.0011064,Jayamahal Extension,neighbourhood,91,blast,calm,
77.668169,12.8528618,Konappana Agrahara,neighbourhood,70,mixed,alive,
77.6174963,12.9466371,Rajendranagar,neighbourhood,85,blast,vibrant,
77.6153858,12.9566722,Austin Town BDA Layout,neighbourhood,78,blast,vibrant,
77.6033847,12.9263385,Bismillah Nagar,neighbourhood,43,bleh,chaotic,
77.5988922,12.9253908,NAL Layout,neighbourhood,77,layered,calm,
77.5908939,12.9311905,Canara Bank Colony,neighbourhood,80,blast,calm,
77.5947124,12.9275876,Tilak Nagar,neighbourhood,72,layered,chaotic,
77.611496,12.9115924,IAS Officers Colony,neighbourhood,83,blast,calm,
77.6242433,12.9243692,Koramangala 2nd Block,neighbourhood,78,blast,vibrant,
77.5601262,13.0566583,BEL Colony,neighbourhood,47,layered,chaotic,
77.6391534,12.979342,Indiranagar 1st Stage,neighbourhood,79,blast,vibrant,
77.63869,12.9770856,Indiranagar 2nd Stage,neighbourhood,77,blast,vibrant,
77.6388731,12.9731648,Motappanapalya,neighbourhood,80,blast,vibrant,
77.6377909,12.959142,Domlur 1st Stage,neighbourhood,76,blast,vibrant,
77.6536931,12.9736956,New Thippasandra,neighbourhood,65,layered,calm,
77.6567503,12.9617767,NR Colony,neighbourhood,80,blast,calm,
77.6623373,12.9586061,Konena Agrahara,neighbourhood,56,layered,chaotic,
77.5750273,13.0287429,RMV 2nd Stage 2nd Block,neighbourhood,75,layered,calm,
77.5588323,13.0405384,Sundar Nagar,neighbourhood,46,layered,chaotic,
77.6098227,13.0747163,Arkavathy Layout 7th Block,neighbourhood,52,layered,chaotic,
77.6083207,13.0840392,Arkavathy Layout 1st Block,neighbourhood,53,layered,chaotic,
77.6203434,13.0757551,Arkavathy Layout 3rd Block,neighbourhood,52,layered,chaotic,
77.6152451,13.0725802,MCECHS Layout,neighbourhood,62,layered,calm,
77.6154768,13.0691775,Telecom Layout,neighbourhood,76,layered,calm,
77.6692734,13.0606148,Hanumanthanagar,neighbourhood,88,blast,calm,
77.6468085,13.0386734,Agara,neighbourhood,61,layered,calm,
77.6424998,13.0286557,Chelekere,neighbourhood,84,blast,calm,
77.7004245,13.0115433,Shree Vinayaka Layout,neighbourhood,56,layered,calm,
77.5797506,13.0043153,Lower Palace Orchard,neighbourhood,76,layered,calm,
77.6082063,13.0374105,Kanaka Nagar,neighbourhood,65,layered,calm,
77.5324669,13.0466974,HMT Watch Factory Colony,neighbourhood,43,bleh,chaotic,
77.658947,12.9545209,Vinayaka Nagar B Block,neighbourhood,61,layered,chaotic,
77.6524936,13.0252226,CNR Layout,neighbourhood,56,layered,calm,
77.6511525,13.0270728,Malappa Layout,neighbourhood,60,layered,calm,
77.6527986,13.0225678,Bank Avenue Colony,neighbourhood,74,layered,calm,
77.6432902,13.0376905,Hennur Gardens,neighbourhood,73,layered,calm,
77.6535472,13.0775838,Sri Krishna Nagar,neighbourhood,66,layered,calm,
77.6580404,13.0247314,Post & Telegraph Layout,neighbourhood,71,layered,calm,
77.5511385,13.0310241,Mohan Kumar Nagar,neighbourhood,55,layered,chaotic,
77.5668197,13.0333103,MSR Nagar,neighbourhood,60,layered,calm,
77.5129632,13.0283168,Peenya 2nd Stage,neighbourhood,40,bleh,chaotic,
77.5275223,13.0645499,Raghavendra Colony,neighbourhood,56,layered,calm,
77.5658857,12.9656327,Cottonpete,neighbourhood,39,bleh,chaotic,
77.6521533,13.0308767,Prakruthi Township,neighbourhood,59,layered,calm,
77.6156693,12.9498455,L.R. Nagar 1st Stage,neighbourhood,58,layered,chaotic,
77.6174553,12.9496935,L.R. Nagar 2nd Stage,neighbourhood,36,bleh,chaotic,
77.6184873,12.9490851,Ambedkar Nagar,neighbourhood,68,mixed,vibrant,
77.5494998,12.9629437,Goripalya,neighbourhood,49,layered,chaotic,
77.5427797,12.9690686,Hosahalli,neighbourhood,53,bleh,chaotic,
77.5512728,12.9541051,Kasturibai Nagar,neighbourhood,72,layered,calm,
77.6383676,12.9640664,Domlur 2nd Stage,neighbourhood,71,mixed,vibrant,
77.6176375,12.9599932,Vannarapete,neighbourhood,43,bleh,chaotic,
77.5396256,12.9463411,Ganapathy Nagar,neighbourhood,72,layered,calm,
77.5354516,12.9466873,KHR Colony,neighbourhood,71,layered,calm,
77.6435315,12.976171,Defence Colony,neighbourhood,80,blast,calm,
77.5921346,12.9420915,Someshwaranagar,neighbourhood,80,blast,calm,
77.6504121,13.0234077,Nanjappa Garden,neighbourhood,87,blast,calm,
77.5493787,12.9232498,Bhuvaneshwari Nagar,neighbourhood,63,layered,calm,
77.5444573,12.9250047,Ittamadu,neighbourhood,71,layered,calm,
77.5340498,12.9127651,AGS Layout,neighbourhood,59,layered,calm,
77.5488835,12.9280952,Katriguppe,neighbourhood,65,layered,calm,
77.5921251,13.0276524,HMT Layout,neighbourhood,72,layered,calm,
77.5950711,13.0279472,VV Nagar,neighbourhood,58,layered,calm,
77.6224071,13.0065573,St. Thomas Town,neighbourhood,69,layered,calm,
77.586453,13.0968434,Sector A,neighbourhood,61,layered,calm,
77.581801,13.0982811,Sector B,neighbourhood,65,layered,calm,
77.575315,13.1048382,4th Phase,neighbourhood,65,layered,calm,
77.5714776,13.1051471,5th Phase,neighbourhood,64,layered,calm,
77.5952828,13.0987546,Gandhinagar,neighbourhood,39,bleh,chaotic,
77.6648221,12.9682545,Jagadish Nagar,neighbourhood,80,blast,calm,
77.762046,12.9663991,Immadihalli,neighbourhood,60,mixed,alive,
77.55459,12.9567265,Valmiki Nagar,neighbourhood,80,blast,calm,
77.6176267,12.9015883,Vakil Marina Layout,neighbourhood,80,blast,calm,
77.6337669,12.9743818,Eshwara Layout,neighbourhood,65,mixed,vibrant,
77.6322716,12.9764755,LBS Nagar,neighbourhood,74,mixed,vibrant,
77.5678155,13.0413668,Dollars Colony,neighbourhood,94,blast,calm,
77.6344738,12.9225582,Venkatpura,neighbourhood,62,layered,calm,
77.6324307,12.9347699,ST Bed Layout,neighbourhood,75,blast,vibrant,
77.5093895,12.9592694,NGEF Layout,neighbourhood,39,bleh,chaotic,
77.7148942,12.9728468,Green Domain Layout,neighbourhood,70,mixed,alive,
77.6145886,12.8731964,Akshaynagar Layout,neighbourhood,64,layered,calm,
77.635802,12.9624344,Domlur Village,neighbourhood,88,blast,vibrant,
77.6396382,12.9674584,Doopanahalli,neighbourhood,70,mixed,vibrant,
77.5392611,12.9265788,Dattatreya Nagara,neighbourhood,57,layered,calm,
77.5385709,12.986475,Basaveshwaranagar 2nd Stage,neighbourhood,74,layered,calm,
77.5794033,13.0254406,Ashwath Nagar,neighbourhood,65,layered,calm,
77.7005156,12.993425,Garudacharpalya,neighbourhood,60,mixed,alive,
77.7489244,12.983525,Prashanth Extension,neighbourhood,60,mixed,alive,
77.7213154,12.9547872,Thubarahalli,neighbourhood,69,mixed,alive,
77.7309743,12.9542596,Siddapura,neighbourhood,73,mixed,alive,
77.6543602,12.9536329,Manjunath Nagar,neighbourhood,61,layered,chaotic,
77.7415588,12.9643292,R. Narayanapura,neighbourhood,53,mixed,alive,
77.6159019,12.8669074,Yelenahalli,neighbourhood,68,layered,calm,
77.6277757,12.9701231,Cambridge Layout,neighbourhood,72,mixed,vibrant,
77.6724503,12.9963615,Udaya Nagar,neighbourhood,67,layered,calm,
77.7522339,12.9728917,Sai Layout,neighbourhood,51,mixed,alive,
77.7220587,12.9933277,Tigalarapalya,neighbourhood,59,mixed,alive,
77.7497624,12.9921197,Kadugodi Colony,neighbourhood,63,mixed,alive,
77.7559192,12.9848621,Maithri Layout,neighbourhood,70,mixed,alive,
77.7521212,12.9688091,Vinayaka Layout,neighbourhood,69,mixed,alive,
77.5285915,12.9407019,Pantarapalya,neighbourhood,63,layered,calm,
77.5333268,12.9297622,Pushpagiri Nagar,neighbourhood,60,layered,calm,
77.4830332,13.0085936,Andrahalli,neighbourhood,68,layered,calm,
